hostname,source,timestamp,src_ip,dst_ip,src_port,dst_port,proto,state,service,sbytes,dbytes,sttl,dttl,stcpb,dtcpb,sinpkt,dinpkt,synack,ackdat,is_sm_ips_ports,processed
parrot,network-interface,2026-03-22 11:18:43.599,192.168.31.61,140.82.112.25,43498,443,tcp,CON,http,66,0,64,0,4291325736,0,0.0,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:18:43.953,140.82.112.25,192.168.31.61,443,43498,tcp,CON,http,0,66,0,37,0,432622174,0.0,0.354774,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:18:58.290,140.82.112.25,192.168.31.61,443,43498,tcp,CON,http,0,107,0,37,0,432622174,0.0,14.33652,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:18:58.293,192.168.31.61,140.82.112.25,43498,443,tcp,CON,http,111,0,64,0,4291325737,0,0.00282,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:18:58.597,140.82.112.25,192.168.31.61,443,43498,tcp,CON,http,0,66,0,37,0,432622215,0.0,0.303956,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:00.292,192.168.31.61,140.82.112.25,43498,443,tcp,FIN,http,66,0,64,0,4291325782,0,1.694921,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:00.445,192.168.31.61,192.168.31.1,33969,53,udp,INT,dns,76,0,64,0,0,0,0.0,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:00.470,192.168.31.1,192.168.31.61,53,33969,udp,INT,-,111,0,64,0,0,0,0.025552,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:00.473,192.168.31.61,192.168.31.1,33969,53,udp,INT,dns,76,0,64,0,0,0,0.002957,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:00.477,192.168.31.1,192.168.31.61,53,33969,udp,INT,-,105,0,64,0,0,0,0.003547,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:00.479,192.168.31.61,140.82.113.26,37410,443,tcp,REQ,http,74,0,64,0,4202917483,0,0.0,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:00.571,140.82.112.25,192.168.31.61,443,43498,tcp,CON,http,0,90,0,37,0,432622215,0.0,0.279668,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:00.574,192.168.31.61,140.82.112.25,43498,443,tcp,RST,http,54,0,64,0,4291325783,0,0.002653,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:00.576,140.82.112.25,192.168.31.61,443,43498,tcp,FIN,http,0,66,0,37,0,432622239,0.0,0.002356,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:00.579,192.168.31.61,140.82.112.25,43498,443,tcp,RST,http,54,0,64,0,4291325783,0,0.002268,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:00.850,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,74,0,37,0,2226304955,0.0,0.370372,0.370372,0.0,0,False
parrot,network-interface,2026-03-22 11:19:00.853,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,66,0,64,0,4202917484,0,0.003019,0.0,0.0,0.003019,0,False
parrot,network-interface,2026-03-22 11:19:00.855,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,1955,0,64,0,4202917484,0,0.00259,0.0,0.0,0.005609,0,False
parrot,network-interface,2026-03-22 11:19:01.157,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,66,0,37,0,2226304956,0.0,0.301893,0.0,0.307502,0,False
parrot,network-interface,2026-03-22 11:19:01.161,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,1316,0,37,0,2226304956,0.0,0.003843,0.0,0.311345,0,False
parrot,network-interface,2026-03-22 11:19:01.164,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,1316,0,37,0,2226306206,0.0,0.002917,0.0,0.314262,0,False
parrot,network-interface,2026-03-22 11:19:01.167,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,667,0,37,0,2226307456,0.0,0.003077,0.0,0.317339,0,False
parrot,network-interface,2026-03-22 11:19:01.169,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,66,0,64,0,4202919373,0,0.002422,0.0,0.0,0.319761,0,False
parrot,network-interface,2026-03-22 11:19:01.172,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,66,0,64,0,4202919373,0,0.002282,0.0,0.0,0.322043,0,False
parrot,network-interface,2026-03-22 11:19:01.175,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,66,0,64,0,4202919373,0,0.00359,0.0,0.0,0.325633,0,False
parrot,network-interface,2026-03-22 11:19:01.178,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,130,0,64,0,4202919373,0,0.002522,0.0,0.0,0.328155,0,False
parrot,network-interface,2026-03-22 11:19:01.180,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,1237,0,64,0,4202919437,0,0.002457,0.0,0.0,0.330612,0,False
parrot,network-interface,2026-03-22 11:19:01.464,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,145,0,37,0,2226308057,0.0,0.284182,0.0,0.614794,0,False
parrot,network-interface,2026-03-22 11:19:01.468,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,145,0,37,0,2226308136,0.0,0.003166,0.0,0.61796,0,False
parrot,network-interface,2026-03-22 11:19:01.470,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,66,0,64,0,4202920608,0,0.002539,0.0,0.0,0.620499,0,False
parrot,network-interface,2026-03-22 11:19:01.473,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,629,0,37,0,2226308215,0.0,0.002499,0.0,0.622998,0,False
parrot,network-interface,2026-03-22 11:19:01.475,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,612,0,64,0,4202920608,0,0.002475,0.0,0.0,0.625473,0,False
parrot,network-interface,2026-03-22 11:19:01.749,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,139,0,37,0,2226308778,0.0,0.274199,0.0,0.899672,0,False
parrot,network-interface,2026-03-22 11:19:01.792,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,66,0,64,0,4202921154,0,0.04241,0.0,0.0,0.942082,0,False
parrot,network-interface,2026-03-22 11:19:43.502,192.168.31.61,192.168.31.1,56404,53,udp,INT,dns,80,0,64,0,0,0,0.0,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:43.503,192.168.31.61,192.168.31.1,56404,53,udp,INT,dns,80,0,64,0,0,0,0.0,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:43.536,192.168.31.1,192.168.31.61,53,56404,udp,INT,-,187,0,64,0,0,0,0.033497,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:43.537,192.168.31.1,192.168.31.61,53,56404,udp,INT,-,187,0,64,0,0,0,0.033839,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:43.540,192.168.31.61,192.168.31.1,56404,53,udp,INT,dns,80,0,64,0,0,0,0.003884,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:43.541,192.168.31.61,192.168.31.1,56404,53,udp,INT,dns,80,0,64,0,0,0,0.004018,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:43.566,192.168.31.1,192.168.31.61,53,56404,udp,INT,-,347,0,64,0,0,0,0.026608,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:43.567,192.168.31.1,192.168.31.61,53,56404,udp,INT,-,347,0,64,0,0,0,0.025664,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:46.958,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,66,0,64,0,4202921153,0,45.166352,0.0,0.0,46.108434,0,False
parrot,network-interface,2026-03-22 11:19:46.958,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,66,0,64,0,4202921153,0,0.0,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:19:47.339,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,66,0,37,0,2226308851,0.0,0.381198,0.0,46.489632,0,False
parrot,network-interface,2026-03-22 11:19:47.339,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,66,0,37,0,2226308851,0.0,0.381205,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:20:01.573,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,91,0,37,0,2226308851,0.0,14.234147,0.0,60.723779,0,False
parrot,network-interface,2026-03-22 11:20:01.574,140.82.113.26,192.168.31.61,443,37410,tcp,CON,http,0,91,0,37,0,2226308851,0.0,14.234538,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:20:01.576,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,66,0,64,0,4202921154,0,0.002972,0.0,0.0,60.726751,0,False
parrot,network-interface,2026-03-22 11:20:01.577,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,66,0,64,0,4202921154,0,0.002754,0.0,0.0,0.0,0,False
parrot,network-interface,2026-03-22 11:20:01.579,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,95,0,64,0,4202921154,0,0.00241,0.0,0.0,60.729161,0,False
parrot,network-interface,2026-03-22 11:20:01.579,192.168.31.61,140.82.113.26,37410,443,tcp,CON,http,95,0,64,0,4202921154,0,0.002721,0.0,0.0,0.0,0,False
